Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
753,6498.0,13341.0,34840.0
754,7212.0,12733.0,33854.0
755,7962.0,12637.0,33989.0
756,8254.0,12801.0,34690.0
757,8344.0,12706.0,34220.0
758,8299.0,12219.0,33567.0
759,8890.0,12150.0,33194.0
760,9316.0,11997.0,32892.0
761,9079.0,11613.0,32358.0
762,8578.0,11334.0,32037.0
763,8173.0,11769.0,32291.0
764,8053.0,13101.0,32878.0
765,8352.0,14549.0,33090.0
766,8740.0,14384.0,32222.0
767,9360.0,14308.0,31343.0
768,9487.0,14694.0,30564.0
769,9026.0,13945.0,29567.0
770,8553.0,13531.0,29250.0
771,8070.0,13379.0,29443.0
772,7705.0,13050.0,29527.0
773,7354.0,12759.0,29506.0
774,6982.0,13255.0,30761.0
775,6762.0,13417.0,32008.0
776,6765.0,13554.0,33627.0
777,6905.0,13118.0,34077.0
778,7620.0,12708.0,34080.0
779,8372.0,12529.0,33776.0
780,8671.0,12531.0,33600.0
781,8847.0,12556.0,33257.0
782,8892.0,12552.0,32693.0
783,9426.0,12554.0,32448.0
784,9890.0,12968.0,32120.0
785,9682.0,12882.0,31588.0
786,9191.0,12062.0,31844.0
787,8348.0,11496.0,32100.0
788,8256.0,11926.0,32939.0
789,8668.0,12574.0,32946.0
790,8995.0,13012.0,31941.0
791,9686.0,12842.0,30961.0
792,9723.0,12675.0,30114.0
793,9287.0,12899.0,29481.0
794,8867.0,13280.0,29148.0
795,8536.0,13693.0,28528.0
796,8159.0,13477.0,28523.0
797,7729.0,13337.0,28836.0
798,7083.0,13539.0,29896.0
799,6376.0,13699.0,31075.0
800,6008.0,13598.0,32159.0
801,6019.0,12911.0,32598.0
802,6495.0,12328.0,32577.0
803,7189.0,11844.0,32547.0
804,7693.0,11714.0,32728.0
805,7835.0,11754.0,32370.0
806,7782.0,11499.0,31377.0
807,8283.0,11549.0,31553.0
808,8780.0,11444.0,31612.0
809,8692.0,10915.0,31393.0
810,8369.0,10918.0,30830.0
811,7975.0,10477.0,31208.0
812,7934.0,11893.0,32882.0
813,8276.0,12927.0,32540.0
814,8583.0,13308.0,31739.0
